,Aula,Categoria,Prof/Aluno,Nome,Link Site Br.ino,Link Direcionado,Status,Obs
3,8,Animação Brastoy,Aluno,Construção do guindaste com Animaçõa Brastoy e braço inclinado,https://brino.cc/EFAI/3_8/guindaste,https://docs.google.com/presentation/d/1ibZj6DqDTNZIzRsl7niSgXg8UcCzwaOtRRknxiOTNx0/edit?usp=sharing,Feito,
3,8,Video interno,Aluno,Manual do bondinho recortável,https://brino.cc/EFAI/3_8/bondinho,,Fazer,
4,8,Video interno,Professor,Resumo da aula 8,https://brino.cc/EFAI/4_8/aula,,Fazer,Gravar
4,8,Projeto com Edison,Aluno,Montagem do EdClaw,https://brino.cc/EFAI/4_8/garra,https://docs.google.com/presentation/d/1vH4poIHD3F7hem2VO1spbDnqT0xdf8Y3V7pP4IU5pks/edit?usp=sharing,Fazer,
5,8,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_8/aula,,Fazer,Gravar
1,9,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_9/aula,,Fazer,Gravar
1,9,Video Externo/Interno,Aluno,Montagem da lagarta maker,https://brino.cc/EFAI/1_9/lag,,Fazer,Gravar
1,9,Material para ser impresso,Professor,Quiver da Borbolete,https://brino.cc/EFAI/1_9/borboleta,,Fazer,
2,9,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_9/aula,,Fazer,
2,9,Link,Aluno,Piano Makey Makey,https://brino.cc/EFAI/2_9/piano,https://apps.makeymakey.com/v2/?srsltid=AfmBOoo5p1iZLW8xaPGXbpoe0ceZSj1b1vTNKJP0c47JJF7Wku3b6AaB#piano,,
3,9,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_9/aula,,Fazer,
4,9,Video interno,Professor,Resumo da aula 9,https://brino.cc/EFAI/4_9/aula,,Fazer,
4,9,Projeto com Edison,Aluno,Montagem do Edison Baterista e do Edison Remador,https://brino.cc/EFAI/4_9/rema,,Fazer,
4,9,Link,Professor,Código do Edison pianista,https://brino.cc/EFAI/4_9/piano,https://github.com/ales-eri/edison-robot-ideas/blob/master/episode04-piano/piano.py,Feito,
5,9,Edison,Aluno,Montagem Ed Esteiras,https://brino.cc/EFAI/5_9/esteira,,Fazer,Animar
5,9,Edison,Aluno,Montagem Ed Escavadeira,https://brino.cc/EFAI/5_9/esca,https://docs.google.com/presentation/d/1fuzo-SNOUoGCxxEGrZPZvHEYb5Cof8SW8C97Gjgvua0/edit?usp=sharing,Fazer,Animar
5,9,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/5_9/aula ,,Fazer,Gravar
1,10,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_10/aula,,Fazer,Gravar
1,10,Animação Brastoy,Aluno,Montagem da ponte  ,https://brino.cc/EFAI/1_10/ponte,,Fazer,
1,10,Animação Brastoy,Aluno,Montagem da cancela,https://brino.cc/EFAI/1_10/can,,Fazer,
2,10,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_10/aula,,Fazer,
